participant_id,age,gender,education,tech_experience,device_type,interface_a_avg_time,interface_a_errors,interface_a_success_rate,interface_a_mental_demand,interface_a_physical_demand,interface_a_temporal_demand,interface_a_performance,interface_a_effort,interface_a_frustration,interface_b_avg_time,interface_b_errors,interface_b_success_rate,interface_b_mental_demand,interface_b_physical_demand,interface_b_temporal_demand,interface_b_performance,interface_b_effort,interface_b_frustration,sus_score,completion_date
P001,25,female,masters,8,laptop,6.55,0,100.0,0,0,0,10,0,0,19.67,0,100.0,3,2,2,9,3,1,70.0,2026-09-08T10:50:27.415Z
P002,21,female,some-college,5,laptop,20.53,0,100.0,3,0,5,7,5,0,39.34,0,100.0,5,5,5,5,5,5,50.0,2026-09-08T10:54:56.240Z
P003,67,male,some-college,1,desktop,29.54,3,100.0,6,3,3,6,3,3,28.52,0,100.0,7,5,5,3,6,7,32.5,2026-09-08T10:59:52.199Z
P004,50,female,masters,7,tablet,6.65,0,100.0,0,1,0,10,0,0,15.33,0,100.0,2,1,1,10,1,0,87.5,2026-09-08T11:03:19.196Z
P005,18,male,high-school,10,smartphone,12.74,0,100.0,0,0,0,10,0,0,17.79,0,100.0,1,0,2,9,1,1,82.5,2026-09-08T11:07:16.845Z
P006,20,male,bachelors,10,smartphone,8.84,0,100.0,0,0,0,10,0,0,70.56,0,100.0,1,0,1,9,0,1,92.5,2026-09-08T11:11:16.491Z
P007,35,male,phd,10,laptop,8.31,0,100.0,0,0,0,10,0,0,13.14,0,100.0,1,0,1,10,0,0,100.0,2026-09-08T11:14:15.242Z
P008,23,female,masters,7,smartphone,11.87,0,100.0,1,0,0,10,0,0,20.22,0,100.0,5,0,3,7,1,3,55.0,2026-09-08T11:18:19.224Z
P009,27,female,high-school,5,smartphone,13.32,3,100.0,1,0,1,8,0,1,20.52,1,100.0,8,0,5,7,0,5,25.0,2026-09-08T11:22:09.426Z
P010,25,male,high-school,5,smartphone,11.00,0,100.0,1,0,0,10,0,0,26.66,0,100.0,3,0,1,9,0,2,72.5,2026-09-08T11:26:19.919Z
